  =  0.18269
тп =  0.00014
тр =  0.00298
тс =  0.00115
тт =  0.00008
ту =  0.00141
тф =  0.00002
тх =  0.00001
тц =  0.00013
тч =  0.00010
тш =  0.00001
тщ =  0.00001
тъ =  0.00000
ты =  0.00224
ть =  0.00562
тю =  0.00007
тя =  0.00072
у  =  0.00694
уа =  0.00004
уб =  0.00084
ув =  0.00067
уг =  0.00112
уд =  0.00194
уе =  0.00015
уж =  0.00167
уз =  0.00025
уи =  0.00001
уй =  0.00012
ук =  0.00107
ул =  0.00260
ум =  0.00101
ун =  0.00021
уп =  0.00073
ур =  0.00045
ус =  0.00150
ут =  0.00178
уу =  0.00007
уф =  0.00001
ух =  0.00048
уц =  0.00000
уч =  0.00084
уш =  0.00112
ущ =  0.00020
уэ =  0.00002
ую =  0.00084
уя =  0.00007
ф  =  0.00001
фа =  0.00006
фе =  0.00013
фи =  0.00014
фл =  0.00001
фн =  0.00000
фо =  0.00031
фр =  0.00002
фс =  0.00000
фт =  0.00000
фу =  0.00002
фф =  0.00001
фч =  0.00001
фы =  0.00001
фь =  0.00002
фэ =  0.00000
х  =  0.00237
ха =  0.00042
хб =  0.00000
хв =  0.00031
хд =  0.00000
хе =  0.00005
хж =  0.00000
хи =  0.00015
хк =  0.00001
хл =  0.00017
хм =  0.00011
хн =  0.00034
хо =  0.00250
хр =  0.00009
хс =  0.00003
хт =  0.00005
ху =  0.00013
хх =  0.00000
хш =  0.00001
хъ =  0.00000
хэ =  0.00001
хя =  0.00000
ц  =  0.00042
ца =  0.00049
цв =  0.00009
це =  0.00060
ци =  0.00018
цк =  0.00000
цо =  0.00026
цп =  0.00000
цт =  0.00000
цу =  0.00016
цы =  0.00020
ч  =  0.00015
ча =  0.00170
чб =  0.00000
чв =  0.00000
че =  0.00252
чи =  0.00149
чк =  0.00044
чл =  0.00003
чм =  0.00004
чн =  0.00070
чо =  0.00011
чр =  0.00009
чт =  0.00285
чу =  0.00064
чш =  0.00017
чь =  0.00025
ш  =  0.00019
ша =  0.00158
шв =  0.00001
шг =  0.00000
ше =  0.00166
ши =  0.00146
шк =  0.00077
шл =  0.00049
шм =  0.00032
шн =  0.00033
шо =  0.00031
шп =  0.00002
шр =  0.00001
шс =  0.00000
шт =  0.00007
шу =  0.00027
шц =  0.00001
шь =  0.00121
щ  =  0.00026
ща =  0.00049
ще =  0.00132
щи =  0.00067
щк =  0.00001
щл =  0.00000
щн =  0.00008
що =  0.00001
щу =  0.00017
щч =  0.00000
щщ =  0.00001
щь =  0.00003
ъе =  0.00010
ъж =  0.00000
ъи =  0.00000
ъм =  0.00000
ъя =  0.00009
ы  =  0.00475
ыб =  0.00026
ыв =  0.00086
ыг =  0.00013
ыд =  0.00014
ые =  0.00082
ыж =  0.00004
ыз =  0.00009
ыи =  0.00000
ый =  0.00113
ык =  0.00019
ыл =  0.00157
ым =  0.00081
ын =  0.00016
ып =  0.00019
ыр =  0.00022
ыс =  0.00068
ыт =  0.00065
ыу =  0.00002
ыф =  0.00000
ых =  0.00063
ыч =  0.00015
ыш =  0.00086
ыщ =  0.00002
ыя =  0.00001
ь  =  0.01075
ьа =  0.00000
ьб =  0.00007
ьв =  0.00005
ьг =  0.00002
ьд =  0.00005
ье =  0.00028
ьж =  0.00000
ьз =  0.00018
ьи =  0.00011
ьй =  0.00003
ьк =  0.00129
ьм =  0.00016
ьн =  0.00108
ьп =  0.00000
ьс =  0.00095
ьт =  0.00016
ьу =  0.00000
ьф =  0.00001
ьх =  0.00000
ьц =  0.00012
ьч =  0.00006
